iter	Logloss
0	0.6922966498
1	0.6913253976
2	0.6909456015
3	0.690270856
4	0.6897908724
5	0.6894300336
6	0.6889099756
7	0.6885713584
8	0.6882175793
9	0.6873909447
10	0.6870867039
11	0.6869157696
12	0.6865470501
13	0.6862496149
14	0.6857419334
15	0.6856097052
16	0.6851758816
17	0.6850579813
18	0.6847659019
19	0.6846720834
20	0.6844372796
21	0.6842609993
22	0.6840282578
23	0.6838592098
24	0.6836560948
25	0.6832770937
26	0.6826002501
27	0.6823401886
28	0.681661374
29	0.6812368254
30	0.6808391049
31	0.6806338821
32	0.6803003959
33	0.6801474415
34	0.6797265449
35	0.6792122337
36	0.6790434952
37	0.6784795805
38	0.6783191169
39	0.6778236424
40	0.6775696794
41	0.6773510182
42	0.6772835782
43	0.676991691
44	0.6765910026
45	0.6761939825
46	0.6757326727
47	0.6755372495
48	0.675334545
49	0.6750524899
50	0.6747474282
51	0.6745988588
52	0.6745310995
53	0.6743875732
54	0.6739915565
55	0.6738010135
56	0.6735359316
57	0.6734216377
58	0.6729215632
59	0.6726922586
60	0.6725495175
61	0.6721611273
62	0.6717523302
63	0.6715702543
64	0.671482277
65	0.6713967528
66	0.6711433958
67	0.6709898127
68	0.6707241346
69	0.6705211207
70	0.6704182096
71	0.6703099133
72	0.6701284172
73	0.6698366962
74	0.6696297174
75	0.669444654
76	0.6693245058
77	0.6692406953
78	0.6690789774
79	0.6690257349
80	0.6689021888
81	0.6687481952
82	0.6686120902
83	0.6682921402
84	0.6681746309
85	0.6680270062
86	0.6678277094
87	0.6677702448
88	0.6676869067
89	0.6675129264
90	0.667338503
91	0.6671558406
92	0.6669361824
93	0.6668642987
94	0.6665751319
95	0.666509337
96	0.6662761003
97	0.6661260617
98	0.6660097186
99	0.6658719814
100	0.6656233027
101	0.6654870739
102	0.665280649
103	0.6651801845
104	0.6648274642
105	0.6647318506
106	0.6645443373
107	0.6644176409
108	0.6642783237
109	0.6641292819
110	0.6640410538
111	0.6638581927
112	0.6637220714
113	0.6636660891
114	0.6634695419
115	0.6632571878
116	0.6630914953
117	0.6627455708
118	0.6626207639
119	0.6623978545
120	0.6621896247
121	0.6620358787
122	0.6619327526
123	0.6617958592
124	0.6617003205
125	0.6615386743
126	0.6612731201
127	0.6611397516
128	0.6609634778
129	0.6608758361
130	0.6607097722
131	0.6606007983
132	0.6604182369
133	0.6602164577
134	0.6599601621
135	0.6597886936
136	0.6597163115
137	0.65954727
138	0.6593381802
139	0.6590932512
140	0.658748835
141	0.6586721884
142	0.6585581128
143	0.6581843274
144	0.658062837
145	0.6579483541
146	0.6575986896
147	0.6573434529
148	0.6572602288
149	0.6570774328
150	0.65689838
151	0.6566722453
152	0.6565357788
153	0.6562544599
154	0.6561688315
155	0.6557449149
156	0.6556326441
157	0.6552485185
158	0.6550268926
159	0.6548623371
160	0.6548030254
161	0.6546541302
162	0.6544298525
163	0.6542990349
164	0.6541701134
165	0.6540721575
166	0.6538308088
167	0.6537557357
168	0.6534385256
169	0.6531431558
170	0.6529853017
171	0.6528804554
172	0.6527430799
173	0.652586796
174	0.6525068525
175	0.6522979484
176	0.6521473526
177	0.6519990895
178	0.6518896432
179	0.651770114
180	0.6514386868
181	0.6513642555
182	0.651239416
183	0.651086113
184	0.6509955328
185	0.6505676156
186	0.6503954531
187	0.650274435
188	0.6501932927
189	0.6499639099
190	0.6498725934
191	0.6496213149
192	0.6494751921
193	0.6491855529
194	0.6489319092
195	0.6488582174
196	0.6487601898
197	0.6486414913
198	0.6485556381
199	0.6484603405
200	0.6484005727
201	0.6480646724
202	0.6479060755
203	0.6478179875
204	0.647657729
205	0.6475683542
206	0.6474067763
207	0.6473207212
208	0.6472616081
209	0.6471699853
210	0.6470732804
211	0.6470074693
212	0.6468901716
213	0.6467572463
214	0.6466865485
215	0.6465644749
216	0.6464350093
217	0.6463803628
218	0.6462622083
219	0.6462028021
220	0.6461142547
221	0.6460163215
222	0.6459344917
223	0.6458404614
224	0.6457332761
225	0.6456360824
226	0.6455205734
227	0.6454418808
228	0.6453681565
229	0.645299169
230	0.6451950916
231	0.6451158094
232	0.6450363807
233	0.6449190831
234	0.6448257043
235	0.644754811
236	0.6446723134
237	0.6445869423
238	0.6444494854
239	0.6443395797
240	0.6442906734
241	0.6441855666
242	0.6441154388
243	0.6440615546
244	0.6439977112
245	0.643848601
246	0.6436662807
247	0.6435517196
248	0.6434712744
249	0.6433418805
250	0.6431175311
251	0.6430325999
252	0.6429639871
253	0.6428831281
254	0.6428306024
255	0.6427899188
256	0.6426951327
257	0.6424835604
258	0.6423063548
259	0.6422252809
260	0.642131433
261	0.6420578129
262	0.6420032413
263	0.6419311491
264	0.6418386532
265	0.6417808368
266	0.641698704
267	0.6416464552
268	0.6416006503
269	0.6414978141
270	0.6413728216
271	0.6413135033
272	0.641236899
273	0.6411028595
274	0.641061811
275	0.6410176644
276	0.6409149162
277	0.6407873467
278	0.6406641198
279	0.6405764911
280	0.6405014115
281	0.640449368
282	0.6403538749
283	0.6402494652
284	0.6400449982
285	0.6399922347
286	0.6399183963
287	0.6398703989
288	0.6398035811
289	0.6396630455
290	0.6396193029
291	0.6395404605
292	0.6394844424
293	0.6393889167
294	0.6393096248
295	0.6391569799
296	0.6391065619
297	0.6390037518
298	0.638925043
299	0.6388410826
300	0.6387505252
301	0.6386560518
302	0.6385418654
303	0.6384855182
304	0.6383765965
305	0.6383041101
306	0.6382348359
307	0.6381768566
308	0.6381027022
309	0.6379954061
310	0.6379420073
311	0.6378833894
312	0.6377805011
313	0.637727946
314	0.6376872657
315	0.637600585
316	0.637527522
317	0.6374846199
318	0.6374129512
319	0.6373692932
320	0.6372516405
321	0.6371923906
322	0.637095184
323	0.6370365531
324	0.6369736284
325	0.636902722
326	0.6368364939
327	0.6367821796
328	0.6366145358
329	0.6365749273
330	0.6365219552
331	0.6364475728
332	0.6364046315
333	0.6363476914
334	0.6362882559
335	0.6362341599
336	0.6361913391
337	0.6361582332
338	0.6361202829
339	0.6360664964
340	0.6360189454
341	0.6359760237
342	0.6359045635
343	0.6358447435
344	0.6357935209
345	0.635599935
346	0.6355304002
347	0.635482253
348	0.6354226122
349	0.6353652421
350	0.6352903449
351	0.6351715194
352	0.6350769124
353	0.6349969559
354	0.6349415763
355	0.6348567917
356	0.6348059209
357	0.6346683597
358	0.634586582
