iter	Passed	Remaining
0	67	67630
1	84	42087
2	96	32139
3	105	26323
4	113	22527
5	119	19804
6	125	17755
7	129	16051
8	135	14954
9	140	13916
10	145	13082
11	150	12409
12	156	11857
13	160	11305
14	165	10858
15	170	10511
16	175	10158
17	181	9880
18	186	9638
19	191	9372
20	195	9128
21	201	8973
22	206	8780
23	211	8591
24	216	8442
25	221	8284
26	225	8141
27	231	8032
28	236	7917
29	241	7802
30	246	7715
31	252	7640
32	257	7532
33	261	7429
34	266	7361
35	272	7285
36	276	7194
37	281	7134
38	286	7055
39	291	6984
40	296	6928
41	301	6872
42	305	6805
43	310	6744
44	316	6726
45	322	6680
46	327	6631
47	332	6597
48	337	6552
49	342	6504
50	348	6477
51	353	6449
52	358	6399
53	364	6380
54	369	6340
55	373	6300
56	379	6272
57	384	6240
58	388	6197
59	393	6167
60	399	6142
61	404	6112
62	408	6081
63	414	6063
64	419	6032
65	423	5999
66	429	5976
67	434	5960
68	439	5928
69	445	5919
70	450	5897
71	455	5866
72	459	5838
73	465	5826
74	470	5798
75	474	5770
76	479	5750
77	484	5726
78	488	5698
79	494	5681
80	499	5664
81	504	5642
82	508	5623
83	513	5605
84	518	5585
85	523	5565
86	529	5553
87	534	5538
88	539	5517
89	548	5542
90	552	5523
91	557	5504
92	563	5491
93	567	5473
94	572	5454
95	578	5452
96	583	5434
97	588	5415
98	593	5405
99	599	5397
100	604	5380
101	611	5379
102	615	5364
103	620	5346
104	626	5337
105	631	5323
106	635	5307
107	641	5298
108	646	5288
109	651	5273
110	656	5261
111	662	5252
112	667	5239
113	671	5221
114	677	5211
115	682	5199
116	687	5184
117	693	5180
118	698	5172
119	702	5153
120	707	5141
121	713	5136
122	718	5120
123	723	5110
124	728	5100
125	733	5085
126	738	5074
127	743	5063
128	748	5055
129	753	5040
130	758	5033
131	763	5020
132	768	5008
133	774	5002
134	779	4993
135	784	4983
136	789	4975
137	795	4968
138	800	4958
139	805	4949
140	811	4942
141	815	4928
142	820	4918
143	826	4910
144	831	4900
145	835	4886
146	840	4878
147	845	4868
148	850	4858
149	856	4850
150	860	4840
151	865	4829
152	871	4822
153	876	4813
154	881	4804
155	886	4795
156	891	4786
157	896	4775
158	900	4761
159	905	4752
160	910	4742
161	914	4731
162	920	4725
163	926	4722
164	931	4716
165	937	4709
166	942	4700
167	947	4692
168	953	4688
169	959	4682
170	963	4671
171	967	4659
172	974	4659
173	979	4649
174	983	4638
175	990	4638
176	995	4629
177	1000	4618
178	1005	4612
179	1010	4604
180	1015	4595
181	1020	4585
182	1025	4578
183	1030	4568
184	1034	4557
185	1039	4550
186	1044	4541
187	1049	4530
188	1054	4524
189	1059	4515
190	1063	4504
191	1068	4496
192	1073	4490
193	1078	4481
194	1083	4474
195	1089	4467
196	1093	4458
197	1098	4448
198	1103	4441
199	1108	4434
200	1113	4424
201	1120	4425
202	1125	4418
203	1129	4407
204	1134	4398
205	1139	4392
206	1144	4385
207	1149	4377
208	1155	4372
209	1159	4363
210	1165	4356
211	1170	4349
212	1174	4340
213	1179	4331
214	1184	4324
215	1189	4316
216	1193	4307
217	1198	4300
218	1204	4294
219	1209	4286
220	1213	4277
221	1219	4272
222	1223	4264
223	1228	4254
224	1233	4249
225	1238	4241
226	1243	4234
227	1248	4226
228	1253	4220
229	1258	4212
230	1262	4203
231	1268	4197
232	1272	4190
233	1277	4182
234	1283	4176
235	1288	4170
236	1293	4163
237	1297	4154
238	1302	4148
239	1307	4140
240	1312	4132
241	1317	4127
242	1322	4120
243	1327	4111
244	1332	4105
245	1337	4099
246	1342	4092
247	1347	4086
248	1352	4080
249	1357	4073
250	1363	4068
251	1368	4062
252	1373	4054
253	1377	4045
254	1382	4039
255	1387	4032
256	1392	4026
257	1398	4022
258	1403	4016
259	1408	4008
260	1413	4003
261	1419	3997
262	1423	3990
263	1428	3983
264	1434	3978
265	1439	3973
266	1444	3966
267	1450	3960
268	1454	3953
269	1459	3945
270	1464	3939
271	1469	3932
272	1473	3924
273	1478	3918
274	1483	3911
275	1488	3904
276	1492	3896
277	1499	3894
278	1504	3887
279	1509	3880
280	1514	3875
281	1519	3868
282	1524	3861
283	1530	3857
284	1535	3852
285	1540	3845
286	1545	3839
287	1550	3833
288	1555	3826
289	1560	3820
290	1565	3814
291	1570	3807
292	1574	3799
293	1580	3795
294	1585	3788
295	1590	3781
296	1594	3775
297	1600	3770
298	1604	3762
